id;nom_categorie;description;image;image_content_type
1;Jordanian Tilsitt;optical Cotton;../fake-data/blob/hipster.png;image/png
2;payment Serbian;Account mindshare;../fake-data/blob/hipster.png;image/png
3;a Automotive Berkshire;web-enabled Cambridgeshire haptic;../fake-data/blob/hipster.png;image/png
4;Cambridgeshire;ROI Lepic;../fake-data/blob/hipster.png;image/png
5;Ingenieur transparent Metal;Practical Champagne-Ardenne;../fake-data/blob/hipster.png;image/png
6;cyan Computers Kids;area composite AI;../fake-data/blob/hipster.png;image/png
7;b;Metal Allemagne override;../fake-data/blob/hipster.png;image/png
8;Stagiaire Plastic;overriding Picardie orchid;../fake-data/blob/hipster.png;image/png
9;Soudan Frozen Bedfordshire;Awesome;../fake-data/blob/hipster.png;image/png
10;Loire navigate;Buckinghamshire;../fake-data/blob/hipster.png;image/png
