id;num_prod;nom_prod;status;prix_vente;image;image_content_type;ice
1;40097;calculate;false;52291;../fake-data/blob/hipster.png;image/png;synthesize compressing
2;65355;Loire networks paradigm;true;26179;../fake-data/blob/hipster.png;image/png;strategy Coordinateur
3;36278;a interfaces;true;5368;../fake-data/blob/hipster.png;image/png;Aquitaine iterate PNG
4;2463;neural content;true;170;../fake-data/blob/hipster.png;image/png;superstructure a quantify
5;27969;index Account Concrete;false;41210;../fake-data/blob/hipster.png;image/png;Metal Wooden back-end
6;47019;Ergonomic Avon;true;44397;../fake-data/blob/hipster.png;image/png;Pound
7;57471;Vaneau;true;96205;../fake-data/blob/hipster.png;image/png;orange
8;83690;de;false;78590;../fake-data/blob/hipster.png;image/png;Chair b
9;90895;Enhanced;true;11251;../fake-data/blob/hipster.png;image/png;Rhône-Alpes neural
10;92265;payment;false;26953;../fake-data/blob/hipster.png;image/png;Electronics
