id;nom_marque;logo;logo_content_type
1;Centre Buckinghamshire methodologies;../fake-data/blob/hipster.png;image/png
2;Customer-focused Metal;../fake-data/blob/hipster.png;image/png
3;generating Customer-focused;../fake-data/blob/hipster.png;image/png
4;c;../fake-data/blob/hipster.png;image/png
5;b;../fake-data/blob/hipster.png;image/png
6;grey Money Savings;../fake-data/blob/hipster.png;image/png
7;Champagne-Ardenne;../fake-data/blob/hipster.png;image/png
8;users Auto Moroccan;../fake-data/blob/hipster.png;image/png
9;b Kids Buckinghamshire;../fake-data/blob/hipster.png;image/png
10;Suède IB systems;../fake-data/blob/hipster.png;image/png
